S.no,Name of Restaurants,Type of Restaurants,Rating,Rating by people,Rating_by_people,Website,Address,Area,Phone number,Outlets included,Web page
62,Andes Restaurant,International,0,0,"
Andes is a contemporary dining restaurant, serving South American flare. Hand purveyed, artisan made! Less
",http://www.andesrestaurants.com,"
Ground Level, The Offices 3 ","
Dubai World Trade Centre ","
+971 4 338 9935 ",ibis One Central,https://www.theentertainerme.com/outlets/andes-restaurant/detail?o=60762&m=35737
63,Andiamo!,Italian,4.5,259,"
Andiamo offers the essence of Northern Italian cuisine in a light-hearted, casual and contemporary atmosphere. Andiamo's eclectic menu features all your all-time favourites, including antipasti, fresh pasta, wood-fired pizza and home-made gelato. Less
",https://www.hyattrestaurants.com/en/dining/uae/dubai/italian-restaurant-in-oud-metha-andiamo,"
Lower Atrium ","
Zaabeel ","
+971 4 317 2222 ",Grand Hyatt Dubai,https://www.theentertainerme.com/outlets/andiamo/detail?o=1488&m=954
64,Andiamo! Pizza - Aloft Palm,,0,0,,https://www.morecravings.com/venues/andiamo-pizza,"
2nd Level ","
The Palm Jumeirah ","
+971 04 247 5555 ",Aloft Palm Jumeirah,https://www.theentertainerme.com/outlets/andiamo-pizza-aloft-palm/detail?o=94289&m=53427
65,Andrea’s Pasta,,0,0,"
Pasta at Andrea’s Pasta is made with love, using premium semolina and fresh farm eggs. Savour a 100% traditional pasta, handmade with love. Less
",,"
Damac Mall Street ","
","
+971 4 246 5388 ",Downtown Dubai,https://www.theentertainerme.com/outlets/andrea-s-pasta/detail?o=87794&m=50494
66,Andreea's,International,4.5,254,"
Andreea's is a combination of gracious service, inventive cuisine, stylish décor and worthy of its gorgeous beachfront views, offering a perfect dining atmosphere for everyone. Find yourself enchanted by our food selection skilfully prepared by our chef. Overwhelm your senses with the tantalising sights, scrumptious aromas and heavenly flavours. The newly opened fusion cuisine restaurant has an alluring terrace that is a hot spot for those seeking to soak in the great weather outside. Open for lunch and dinner, seven days a week. Less
",http://www.andreeas.ae,"
Beachfront ","
Dubai Marina ","
+971 4 408 4400 ","Habtoor Grand Resort, Autograph Collection",https://www.theentertainerme.com/outlets/andreea-s/detail?o=15121&m=8754
67,Angrezi Masala,,0,0,"
Spices play a major role in Indian food and Angrezi Masala gives a magical touch to the blend of spices. Satisfy your urge for tangy and tasty masala food with combo meals available in a variety of options for both vegetarians and non-vegetarians. Do not wait any longer and order now for delivery. Less
",,"
Jumeirah Bay Tower, Cluster X2, Lake Level, Shop No. 15 ","
","
+971 4 361 9601 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/angrezi-masala/detail?o=87709&m=50370
68,Another St.,,0,0,"
Defining Dubai’s cocktail culture, Another St. boasts a menu of delicious bites and experimental concoctions designed to enchant and entice. Hidden in a tiny alley off Market Square, this eclectic dining den is filled with nooks and crannies in which to relax and savour the flavours. Less
",https://www.dusit.com/dusitthani/dubai/dining/,"
24th Level ","
Sheikh Zayed Road ","
+971 4 317 4515 ",Dusit Thani Dubai,https://www.theentertainerme.com/outlets/another-st/detail?o=67179&m=38833
69,AOC International Buffet,International,4.5,43,"
A sensory pleasure with French flair at every gastronomic encounter captivating Middle Eastern, Moroccan and Turkish delights. Experience live cooking stations and indulge in decadent desserts whilst you enjoy unbeatable views of the Arabian Gulf. Less
",http://www.sofitel-dubai-jumeirahbeach.com,"
P3 Level ","
Jumeirah Beach Residence ","
+971 4 448 4848 ",Sofitel Dubai Jumeirah Beach,https://www.theentertainerme.com/outlets/aoc-international-buffet/detail?o=842&m=575
70,Apizza Apasta - Dubai,,0,0,"
Preparing good pasta is an art, a sense of taste and well-chosen ingredients. Being aware of that we have created for you a place where pasta is the king of the menu. We believe that well prepared, original Italian pasta will win the heart of everyone. We invite you for a delicious meal, which you can eat at any place and at any time. Check the menu. You choose; we cook and deliver. Less
",,"
Gate Avenue - South Zone, Level 1, Unit 2 ","
 ","
97145868768 ",Dubai International Financial Centre,https://www.theentertainerme.com/outlets/apizza-apasta-dubai/detail?o=93975&m=53615
71,Apres,International,4.5,761,"
Inspired by the fun atmosphere of European ski resorts, Après is a sophisticated lounge, bar and restaurant that embodies alpine ski-lodge chic. Well known for a deliciously addictive line-up of signature cocktails and contemporary European cuisine, dining at Après never fails to impress. Be sure to try the authentic selection of stone-baked pizza and the traditional Swiss cheese fondue which continues to be a perennial favourite. Less
",https://www.emiratesleisureretail.com/brands/apres-mall-of-the-emirates/,"
1st Level, Near Kempinski Hotel ","
Al Barsha ","
+971 4 341 2575 ",Mall of the Emirates,https://www.theentertainerme.com/outlets/apres/detail?o=2181&m=1371
72,Aqua Lounge,International,0,0,,,"
Ground Level ","
","
+971 4 304 2000 ",Beach Walk Hotel,https://www.theentertainerme.com/outlets/aqua-lounge/detail?o=92527&m=53102
73,Arabesque - Bahi Ajman Palace Hotel,,0,0,"
 Enter into a world of the finest foods and enjoy a uniquely delicious experience at Arabesque. Our luxury restaurant features a mystical One Thousand and One Night, shaped in the form of a half-crescent with the hanging Arabian royal handmade lamps, mounted torches and warm design. Watch our master chefs prepare delicious dishes at live cooking stations, using only the finest ingredients. Savour International cuisine as well as a selection of Arab specialities indoors or al fresco on our spacious terrace, overlooking the magnificent Arabian Gulf. Less
",http://www.hmhhotelgroup.com/bahi/unitedarabemirates/ajman/bahiajmanpalacehotel/dining/restaurants,"
Ground Level ","
Ajman ","
+971 6 701 8888  ",Bahi Ajman Palace Hotel,https://www.theentertainerme.com/outlets/arabesque-bahi-ajman-palace-hotel/detail?o=38805&m=22995
74,Areia,International,4.5,164,"
Savour tasty grills, seafood dishes and home-made desserts at our poolside restaurant. Areia provides a relaxed atmosphere and attentive service. Enjoy breathtaking views of the JBR Beach and The Palm. Join our open-air lounge and forget about the hustle and bustle of your everyday life. Relax while sipping a cocktail and admire a beautiful sunset over the Arabian Gulf. Opening Hours: 11:00am - 11:00pm Less
",http://www.dubaijumeirahbeach.doubletree.com,"
Pool Deck, The Walk ","
Jumeirah Beach Residence ","
+971 55 166 8092 ",Jumeirah Beach,https://www.theentertainerme.com/outlets/areia/detail?o=8490&m=4615
75,Argentina Grill,,0,0,"
Argentina Grill invites its guests to fresh air, blooming greenery and open space. The Pointe venue offers mind-blowing view of the legendary Atlantis The Palm hotel while La Mer offers the view of the majestic Dubai Fountains. The asadores prepare unforgettable and original dishes from the variety of menu, including aguacate en parrilla and churros con dulce de leche. The aroma of the spices and undertones of passionate tango in every little piece of food will definitely win your heart. Less
",https://argentinagrill.rest/cities/dubai-en/,"
Zone A, First Level, The Pointe ","
The Palm Jumeirah ","
+971 54 570 26 26 ",The Pointe,https://www.theentertainerme.com/outlets/argentina-grill/detail?o=87751&m=50442
76,Armani/Amal,Indian,0,0,"
Gather with friends to savour the true taste of India in an unforgettable setting. Fresh and innovative regional Indian cuisine is on the menu at Armani/Amal, along with an exciting beverage list and selected tea. Exotic curries and other specialities are prepared tableside, showcasing time-honoured traditional cooking methods and ingredients. Enjoy a memorable dining experience with stunning views over the Downtown Dubai neighbourhood and The Dubai Fountain. Less
",https://www.armanihoteldubai.com/dine/,"
3rd Level ","
Downtown Dubai ","
+971 4 888 3666 ",Armani Hotel Dubai,https://www.theentertainerme.com/outlets/armani-amal/detail?o=89555&m=51657
77,Armani/Hashi,Japanese,4.5,649,"
Experience the best of Japan in a vibrant setting. Armani/Hashi restaurant and lounge delivers an imaginative twist on traditional and contemporary Japanese cuisine. The freshest fish, flown-in daily from around the world, is complemented by a selection of speciality beverages. Enjoy panoramic terrace views of the iconic Dubai Fountain coupled with the beat of the restaurant’s music while dining on sushi, sashimi and other authentic Japanese dishes for a culinary occasion that will delight all the senses. Less
",http://www.armanihotels.com,"
Concourse Level, Burj Khalifa ","
Downtown Dubai ","
+971 4 888 3444 ",Armani Hotel Dubai,https://www.theentertainerme.com/outlets/armani-hashi/detail?o=19883&m=11882
78,Armani/Lounge,,0,0,"
Located in the heart of the hotel and overlooking the spectacular Dubai Fountain, Armani/Lounge is the perfect place to enjoy innovative interpretations of International cuisine. An extensive selection of coffee, tea and grapes complement a world-class array of beverages. Armani/Lounge is the destination to enjoy teatime treats during the day or an Italian-style aperitivo at sunset. Less
",https://www.armanihoteldubai.com/dine/,"
Lobby Level ","
Downtown Dubai ","
+971 4 888 3666 ",Armani Hotel Dubai,https://www.theentertainerme.com/outlets/armani-lounge/detail?o=89598&m=51671
79,Armani/Ristorante,Italian,0,0,"
The essence of Italy is brought to life at Armani/Ristorante where a natural passion for the finest ingredients, exquisite flavour combinations and contemporary presentation come together in an exclusive environment that excites the palate and leaves lovers of gourmet dining wanting more. Italian culinary excellence is paired with uniquely personalised service, taking diners on a memorable journey from a classic aperitivo to the subtle nuances of the degustation style menu and expert recommendations from the restaurant’s own sommelier. Less
",https://www.armanihoteldubai.com/dine/,"
Lobby Level ","
Downtown Dubai ","
+971 4 888 3666 ",Armani Hotel Dubai,https://www.theentertainerme.com/outlets/armani-ristorante/detail?o=89588&m=51619
80,Arsalaan Darbar,,0,0,,,"
Delivery only: Ground Level ","
","
+971 58 150 0387 ",Sharjah,https://www.theentertainerme.com/outlets/arsalaan-darbar/detail?o=93922&m=53596
81,Asado,Argentinian,4.5,1581,"
A tribute to the culture and history of Argentina, Asado offers a cuisine created from age-old recipes and premium cellared beverages. Step in anytime to delight in a blend of iconic experiences and relish an à la carte menu, including the best options of Argentinean cuisine. Dine outside in cooler months to make the most of the terrace and enjoy iconic views of Burj Khalifa and the Dubai Fountain or relax in the warmly lit interior whilst enjoying the cosy ambience. Less
",http://addresshotels.com/asado,"
Ground Level ","
Downtown Dubai ","
+971 4 888 3444 ",Palace Downtown,https://www.theentertainerme.com/outlets/asado/detail?o=780&m=519
82,Aseelah, Read Reviews,4.5,176,"
In the heart of old Dubai lies a newly opened gem - Aseelah - at the Radisson Blu Hotel, Deira Creek. Guests are invited to savour Emirati cuisine and discover the new place to be in a location that has seen this beautiful city grow. Through its unique menu combining the old and the new, Aseelah takes guests on a journey from Dubai’s humble roots to today’s modern achievements. Less
",http://www.radissonblu.com/hotel-dubaideiracreek,"
2nd Level, Plaza Building ","
Deira ","
+971 4 205 7033 ","Radisson Blu Hotel, Dubai Deira Creek",https://www.theentertainerme.com/outlets/aseelah/detail?o=8465&m=4592
83,Asha's, Read Reviews,4.5,1082,"
Asha Bhosle, the legendary Indian artiste, selected Dubai to open her first restaurant chain. The menu at Asha's combines three elements: contemporary fusion cuisine, traditional Lucknow classics and signature dishes that focus on culinary home-style favourites of Asha Bhosle. Here, let our unique menu tempt you. Enjoy succulent meats flavoured with authentic herbs and spices carefully picked by the veteran singer herself to delight your palate. Less
",http://www.pyramidsrestaurantsatwafi.com,"
1st Level ","
Oud Metha ","
+971 4 324 4100 ",Wafi Mall,https://www.theentertainerme.com/outlets/asha-s/detail?o=781&m=520
84,Ashas Hessa Street,Indian,0,0,"
Asha Bhosle, the legendary Indian artiste, selected Dubai to open her first restaurant chain. The menu at Asha's combines three elements: contemporary fusion cuisine, traditional Lucknow classics and signature dishes that focus on culinary home-style favourites of Asha Bhosle. Let our unique menu tempt you. Enjoy succulent meats flavoured with authentic herbs and spices carefully picked by the veteran singer herself to delight your palate. Less
",,"
One Kitchen, Hessa Street ","
","
+971 58 952 6248 ",Al Barsha,https://www.theentertainerme.com/outlets/ashas-hessa-street/detail?o=90126&m=52044
85,Asia Asia,Asian,4,1282,"
Asia Asia sits in an ideal location on the 6th level of Pier 7, offering stunning views of the Dubai Marina. The venue takes inspiration from the ancient Spice Route and is exquisitely furnished to reflect this famous journey from Asia through to the Far East. Guests can expect a fusion of Pan-Asian and Middle Eastern flavours every night of the week as well as weekly Ladies Night and Friday brunch. Less
",http://www.asia-asia.com,"
6th Level ","
Dubai Marina ","
+971 4 276 5900 ",Pier 7,https://www.theentertainerme.com/outlets/asia-asia/detail?o=8372&m=4548
